"Bar/Node/Case,FX (kN),FY (kN),FZ (kN),MY (kNm),MZ (kNm),Length (m)"
" 1/ 1/ 1,0.67,0.00,-0.33,0.32,-0.00,2.90"
" 1/ 2/ 1,0.44,0.00,-0.33,-0.64,-0.00,2.90"
" 2/ 2/ 1,0.33,0.00,0.44,-0.64,0.00,2.00"
" 2/ 3/ 1,0.33,0.00,0.28,0.08,-0.00,2.00"
" 6/ 6/ 1,0.33,0.00,-0.28,0.08,0.00,2.00"
" 6/ 7/ 1,0.33,0.00,-0.44,-0.64,-0.00,2.00"
" 7/ 7/ 1,0.44,0.00,0.33,-0.64,0.00,2.90"
" 7/ 8/ 1,0.67,0.00,0.33,0.32,0.00,2.90"
" 8/ 9/ 1,-0.00,-0.00,0.28,-0.47,-0.00,4.00"
" 8/ 3/ 1,-0.00,-0.00,-0.04,0.00,0.00,4.00"
" 9/ 3/ 1,0.33,-0.00,0.24,0.08,-0.00,6.00"
" 9/ 6/ 1,0.33,-0.00,-0.24,0.08,0.00,6.00"
" 10/ 6/ 1,-0.00,-0.00,0.04,0.00,-0.00,4.00"
" 10/ 10/ 1,-0.00,-0.00,-0.28,-0.47,0.00,4.00"
