0,0,0.04,0.1
0,0,0.38,1
0,0,0.73,2
0,0.03,0.03,0.1
0,0.04,0,0.1
0,0.1,0.34,1
0,0.1,0.68,2
0,0.2,0.61,2
0,0.22,0.22,1
0,0.34,0.1,1
0,0.38,0,1
0,0.39,0.39,2
0,0.61,0.2,2
0,0.68,0.1,2
0,0.73,0,2
0.2,0,0.08,0
0.2,0,0.42,1
0.2,0,0.75,2
0.2,0.06,0.06,0
0.2,0.08,0,0
0.2,0.1,0.38,1
0.2,0.1,0.7,2
0.2,0.24,0.24,1
0.2,0.3,0.5,2
0.2,0.38,0.1,1
0.2,0.39,0.39,2
0.2,0.42,0,1
0.2,0.5,0.3,2
0.2,0.7,0.1,2
0.2,0.75,0,2
0.4,0,0.11,0
0.4,0,0.43,1
0.4,0,0.76,2
0.4,0.04,0.1,0
0.4,0.08,0.4,1
0.4,0.1,0.04,0
0.4,0.1,0.7,2
0.4,0.11,0,0
0.4,0.2,0.6,2
0.4,0.23,0.23,1
0.4,0.38,0.38,2
0.4,0.4,0.08,1
0.4,0.43,0,1
0.4,0.6,0.2,2
0.4,0.7,0.1,2
0.4,0.76,0,2
0.4,0.08,0.08,0
0.6,0,0.11,0
0.6,0,0.41,1
0.6,0,0.73,2
0.6,0.03,0.4,1
0.6,0.08,0.08,0
0.6,0.08,0.7,2
0.6,0.1,0.33,1
0.6,0.1,0.68,2
0.6,0.11,0,0
0.6,0.21,0.21,1
0.6,0.33,0.1,1
0.6,0.37,0.37,2
0.6,0.4,0.03,1
0.6,0.41,0,1
0.6,0.68,0.1,2
0.6,0.7,0.08,2
0.6,0.73,0,2
0.8,0,0.1,0.1
0.8,0,0.37,1
0.8,0,0.68,2
0.8,0.07,0.07,0.1
0.8,0.1,0,0.1
0.8,0.1,0.31,1
0.8,0.1,0.63,2
0.8,0.2,0.2,1
0.8,0.3,0.42,2
0.8,0.31,0.1,1
0.8,0.35,0.35,2
0.8,0.37,0,1
0.8,0.42,0.3,2
0.8,0.63,0.1,2
0.8,0.68,0,2
1,0,0.07,0.1
1,0,0.32,1
1,0,0.63,2
1,0.05,0.05,0.1
1,0.07,0,0.1
1,0.1,0.28,1
1,0.1,0.59,2
1,0.18,0.18,1
1,0.2,0.5,2
1,0.28,0.1,1
1,0.32,0,1
1,0.33,0.33,2
1,0.5,0.2,2
1,0.59,0.1,2
1,0.63,0,2
1.2,0,0.28,1
1.2,0,0.03,0.3
1.2,0,0.58,2
1.2,0.08,0.25,1
1.2,0.1,0.54,2
1.2,0.15,0.5,2
1.2,0.16,0.16,1
1.2,0.02,0.02,0.3
1.2,0.25,0.08,1
1.2,0.28,0,1
1.2,0.03,0,0.3
1.2,0.31,0.31,2
1.2,0.5,0.15,2
1.2,0.54,0.1,2
1.2,0.58,0,2
1.4,0,0.03,0.5
1.4,0,0.22,1
1.4,0,0.53,2
1.4,0.025,0.025,0.5
1.4,0.03,0,0.5
1.4,0.08,0.18,1
1.4,0.1,0.48,2
1.4,0.13,0.13,1
1.4,0.18,0.08,1
1.4,0.2,0.41,2
1.4,0.22,0,1
1.4,0.29,0.29,2
1.4,0.41,0.2,2
1.4,0.48,0.1,2
1.4,0.53,0,2
