12,2,0.000226195,,,,
12,3,0.000339292,,,,
12,4,0.000452389,,,,
12,5,0.000565487,,,,
12,6,0.000678584,,,,
12,8,0.000904779,,,,
12,9,0.001017876,,,,
12,10,0.001130973,,,,
14,4,0.000628319,2,16,2,12
14,6,0.000942478,3,16,3,12
14,8,0.001256637,4,16,4,12
14,10,0.001570796,5,16,5,12
14.7,3,0.000515221,2,16,1,12
16,3,0.000603186,,,,
16,4,0.000804248,,,,
16,5,0.001005310,,,,
16,6,0.001206372,,,,
16,8,0.001608495,,,,
16,9,0.001809557,,,,
16,10,0.002010619,,,,
18,4,0.001030442,2,20,2,16
18,6,0.001545664,3,20,3,16
18,8,0.002060885,4,20,4,16
18,10,0.002576106,5,20,5,16
18.4,5,0.001344602,3,20,2,16
18.7,3,0.000829380,2,20,1,16
20,3,0.000942478,,,,
20,4,0.001256637,,,,
20,5,0.001570796,,,,
20,6,0.001884956,,,,
20,8,0.002513274,,,,
20,9,0.002827433,,,,
20,10,0.003141593,,,,
22.5,4,0.001610066,2,25,2,20
22.5,6,0.002415099,3,25,3,20
22.5,8,0.003220132,4,25,4,20
22.5,10,0.004025166,5,25,5,20
23,5,0.002100940,3,25,2,20
23.3,3,0.001295907,2,25,1,20
25,4,0.001963495,,,,
25,5,0.002454369,,,,
25,6,0.002945243,,,,
25,8,0.003926991,,,,
25,9,0.004417865,,,,
25,10,0.004908739,,,,
